Name,PI,Researcher
Nathaniel A Pancost,"1675, 3039, 2235","1808, 1189"
Ayushi Narayan,,2493
Kandice A Kapinos,716,
Stanley A Sedo,,580
Saheon Kim,,"1572, 808"
Matthew R Backus,,"580, 880"
Emilien Gouin-Bonenfant,,2527
Bo Zheng,,2136
Tanya Byker,2108,"802, 2484"
Jacob Williams,,1237
Robert C Seamans,"1101, 2315",751
Wolfgang Keller,"1257, 1916",1975
Gabriel Unger,"1591, 1519",
Xian Jiang,,"1353, 1841, 2210, 2539"
Mark J Borgschulte,2197,
Seung Hoon Lee,1673,
Marc de la Barrera i Bardalet,,1917
Edward Miller,766,
Nurgul Ukueva,,"406, 493"
Alvin D Murphy,,"537, 550"
Caitlin Gorback,,2235
Richard E Brown,,"2214, 2586"
Thomas C Maslin,,"406, 623"
Yajie Wang,2652,
Jack DeWaard,"1586, 1380",2556
Shihe N Fu,,"83, 306"
Fernando R Chaddad,668,
Emily G Collins,869,
James M Gamble,,1400
Grant Storer,,2962
Muazzam Toshmatova,,1751
Amil K Petrin,,617
Yuan Li,,848
Cailin R Slattery,,2473
Jongho Won,,2517
Andrew D Wilcock,,1456
Hamzah S Ahmed,,2498
Christopher Campos,,"1105, 1284, 1406"
Naomi Hausman,,"828, 1890, 1069"
James Bessen,2735,828
Hani Mansour,,1802
Andrew J Wang,,"1571, 2766, 1185, 2315, 786, 1315"
Evan Mast,"2769, 2403",
Diana Lavery,,717
Stephen Yeaple,,"1257, 1975, 1916"
Ann M Rodgers,,"815, 802"
Joshua P Gagne,,"2510, 2888"
Michael J Murto,,"1284, 1854"
Shuaizhang Feng,524,
Adam R Roberts,,1888
Benjamin P Lahey,,2473
William B McCartney,,808
Bela B Szemely,,"617, 343, 623, 293"
Jiahui Xu,,2811
Peter J Choi,,1743
Zichong Qu,,"1070, 1284, 802, 1450, 1085, 1208"
Elizabeth Luh,,2295
Yanling Qi,,1208
Elizabeth A Berger,2234,
Ethan D Kaplan,3018,"1737, 1967, 1175"
Rebecca L Mueller,2081,
Harland Prechel,,1359
Alicia S Modestino,1886,
Jason D Kotter,760,
Michael Lovenheim,2041,
Melissa N Scopilliti,704,
Lauren T Pinard-Andrews,,2129
Isabel Almazan,,2476
Tongyang Yang,,"1967, 2055, 2278, 1866, 1673"
Karthik Krishnan,1356,"1352, 730"
Marissa Gargano,,1746
Francis M Dillon,,2766
Dimitrije Ruzic,,"1298, 1890, 2226"
Paige P Ouimet,"1589, 662","493, 881"
Eugenio P Pinto,1569,
Caroline Sprecher,,1532
Keith A Meyers,,"1719, 2271"
David A Boulifard,1188,
Saikat Nandy,,1071
Todd K Gardner,,"1745, 2556, 2285, 2228, 2517"
Chenzi Xu,2732,
Lori B Zehr,,665
Philip Pendergast,,"2215, 2283"
Rick Ogden,,1528
Lisa Abraham,2759,
John L Voorheis,,1284
Andrew Carr,,2334
Sean McConville,,2090
Theodor A Kulczycki,,"1854, 2556"
Ching Wai Chiu,,623
Scott X Marchi,,1515
John R Warren,,1586
Ian H Hardman,,2211
Sebastian J Anti,,994
Abigail K Wozniak,611,
Jennifer P Kades,,2406
Sari Kerr,,"1571, 2766, 1315, 1731, 1182, 786, 1352, 1481"
Kaitlyn A Moulton,,1284
Wenhua Di,,2501
Andrew Fenelon,,1881
Danielle Li,,601
Haotian Zhong,,1367
Laura R Wherry,,"1743, 1284"
Illenin O Kondo,,"2427, 1287"
Katherine Calle Willyard,1758,1392
Vasudha Nair,,2484
Rodney Ramcharan,2775,
Biblia S Cha,,1748
Ekaterina Kazakova,,2981
Mariko Sakakibara,815,
Ying Zhou,,1990
Celestine O Siameh,,994
Paul S Heaton,,395
Jonathan Schroeder,2228,
Stephanie Karol,2459,
Michael B Wong,,2389
Chia-Hua Lin,,1310
Ashley Craig,,2459
Brendan Lantz,,2687
Steven Mello,,2295
Xi Song,2811,
Ali Hortacsu,,"365, 277, 1014"
Nikhil Agarwal,,1684
Brigham R Frandsen,,"786, 487, 607"
Carolyn A Liebler,"1459, 2343, 797",
Randall L Reback,,2041
Ziyao Tian,,2811
Trey Cummings,2726,
Zachary Ward,2849,
Michael Long,2919,
Colin Peterson,,"2510, 2888"
Pablo Ottonello,1605,
Melanie E Wallskog,"2406, 2967","1589, 1694, 1632"
Martha J Bailey,"2548, 1284, 1854, 556",
Patrick Brady,2897,
Thomas Kemeny,,792
Ashley Gromis,2175,
Songman Kang,,623
Christopher Davis,,2661
Catherine L Mann,,1180
Aurel Hizmaj,,537
Ephraim Love,,874
Thomas Hubbard,395,365
Leo A Sveikauskas,1703,
Clare M Doyle,,"1667, 2528"
Jennifer Mayo,,2459
Travis F Dorsey,,3039
Rongzhang Wang,,"1277, 1276"
Inku Subedi,,1706
Tzy-Mey Kuo,,796
Jennifer L Bernard,,1877
Nathan H Miller,,1518
Erin Metcalf,,177
Molly Graber,,"1070, 1866"
Paula M Meloni,,2211
Kyle E Walker,2050,
Marie C Ruiz,,1808
Lin Ma,,784
Isaac Opper,,2759
Michael Clark,,2552
Andrew J Goodman-Bacon,,"1284, 410"
Paul A Lengermann,,1237
Ann L Owens,1360,
Davin Reed,,"2769, 861, 2403"
Daniel B Firoozi,,2693
Daniel J Phaneuf,,406
Sam Stripling,,"2272, 2603"
Xuan Li,,1000
Lia G Petrose,,1684
Mahour M Mellat-Parast,1577,
Jordan M Burt,,"1191, 1473"
Lakhpreet Gill,,2600
Xavier A Giroud,"1908, 1195, 2570","2851, 1151"
Jialin Li,1280,1014
Robert Dent,,"871, 908"
Edison G Yu,,712
Christopher A Kanter,,906
Matthew Langley,,163
Jade Jenkins,2040,
Shane L Martin,,1335
Carla J Gardner,,1105
Seth G Sanders,"1664, 2816, 1920",2323
Katherine Lim,,815
Xiaoyang Li,,"580, 834, 2441"
Julie A Silva,,708
Mo Xiao,296,
Jonathan M Lee,1258,"1667, 423, 1213"
Caleb Floyd,,"1706, 1866"
Jessica P Vistnes,66,
Pinchuan Ong,2149,
Sharan Sharma,,1157
Katherine A Reinmuth,,2109
Seula Kim,2095,"2296, 1572"
Yini Liu,1960,
Thomas Helgerman,,"1284, 1854"
Andre Kurmann,1670,"1002, 1057, 2109"
Teresa C Fort,"1179, 1975","1257, 1276, 1916"
David C Jinkins,,1109
Sara Zobl,,"802, 1605"
Evan T Rawley,751,269
Eduardo Morales Casado,,1276
Christina Stacy,2661,
Steven Lugauer,,2262
Jennifer Ozawa,,3031
Scott E Yonker,,570
Hannah Gagarin,,1947
Michael Shepard,,1619
William R Walker,"1105, 1406, 758, 1956, 932, 2211","2410, 729, 1284"
Ashley Erceg,,"2593, 2476"
Abdul Raheem Shariq Mohammed,,"2548, 1854"
Erika V Martinez,,"537, 623, 293"
Jacob Brown,,2747
Santiago Franco,,2441
Shih-Keng Yen,,1994
Yifang Xie,,1814
