Name,PI,Researcher
James M Reeves,,"2854, 2957"
Rema N Hanna,,272
Fiona L Sequeira,,1668
Francis Wong,,2605
Pinar Celikkol Geylani,"2712, 284, 859",
Rafeya Raquib,,3081
Damian R Thomas,,1528
Jeffrey A Tamburello,,1320
Karin Wu,,"1849, 2521"
Alvin J Silk,607,
Alexander J Ramiller,,2137
Clarissa A Yeap,365,
Brenden D Timpe,2593,"2548, 1284, 1854, 2108, 802"
Jonathan Cohn,,1497
David M Blau,539,
Orlando A Garcia,,2407
Brooks M Depro,,796
William M Rafey,,2211
Jihoon Sung,,1440
Michael Peress,,297
Janice C Probst,,774
Konhee Chang,2669,
Saimun Habib,,2157
Clemens A Aeppli,2868,
Sheah M Deilami,,2309
Yue M Zhou,834,580
Rachel Schuh,,"1694, 2109"
John M Coglianese,,1527
Maria Rosales Rueda,,2040
Sreyas Mahadevan,,2441
Benjamin C King,,845
Paul H Mohnen,,2548
Matthew Simpson,,1071
Philip S Doctor,,"369, 343, 410"
Chang Liu,2685,
Yizhao N Yang,452,
John R Logan,2517,1745
Nicole M Dalzell,,1385
John Cantrell,,2359
Oren Ziv,"1890, 1255",1069
Ruoniu Wang,,2137
Regina Baker,,2972
Nicholas Intscher,,1485
Carlos A Gonzalez-Calderon,,863
Catherine A Fitch,620,
Duan Zhang,,2947
Richard Thakor,2715,
Luke Petach,,2054
Jesse M Rothstein,2835,
Junia Howell,,2080
Brian P Greaney,,"1811, 1286"
Chaewon Baek,,"1298, 2439"
Sarah Nunez-von Bargen,,2176
Harrison Wheeler,,908
Matthew Sveum,1227,2194
Xiaoshuang Luo,,2534
Carl Vieregger,,1127
Emily Leslie,,2947
Pinelopi Goldberg,,1286
German Bet,1410,
Coenraad Pinkse,2222,
Tony E Smith,,1988
Sean M Moore,,413
Danny Kurban,2391,
Vanessa A Ntungwanayo,,2548
Rebecca Diamond,,3042
Ben Ranish,,2427
Sophia M Croome,,1572
Kanika Kapur,,255
Logan T Lewis,,"2427, 1287"
Megan J Benetsky,,665
Carlos Rangel,,2081
Alexander A Houtz,,1731
Rachel M Atkins,,2105
Cornell J Krizan,,1109
Kuan-Yi Chen,,482
Sabrina Nasir,2522,
Austin J Lentsch,,1684
Qiping Xu,1850,
Seung Hyeong Lee,,"2838, 1572"
Julia Behrman,,2602
Kristine M Witkowski,1157,
Marianne Wanamaker,,2547
Kendal Lowrey,,2357
Yongsuk Lee,,589
James R Tybout,1109,
Shawn Ratcliff,,2907
David E Simon,,1481
Gwynne Evans-Lomayesva,,2343
Jonathan I Dingel,,"1179, 1975"
William D Lastrapes,,1085
Belen Villalonga,246,
Nicola Pierri,,1057
Chris Fowler,,"1070, 2228"
Antje Kirchner,,1583
Umberto Muratori,,1812
Weiting Miao,,"1109, 2606, 1667, 2210, 2998"
Kevin Caves,420,
Garrett Anstreicher,2413,"1284, 2508, 1849"
Marina J Chabot,,2817
Jungwon A Son,,2296
Leslie Root,,2934
Marina Gindelsky,1403,
Rachel Meltzer,2550,
In Song Kim,,1485
Ana M Herrera,2262,
Daniel S Ober-Reynolds,,1518
Tasaneeya Viratyosin,,2109
